% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	0.999999	0
0.041	2	4	1	0.999999	0
0.042	1	2	2	0.999999	0
0.042	2	5	2	0.999999	0
0.043	1	3	3	0.999999	0
0.043	2	6	3	0.999999	0
0.081	1	1	1	0.999999	0
0.081	2	4	1	0.999999	0
0.082	1	2	2	0.999999	0
0.082	2	5	2	0.999999	0
0.083	1	3	3	0.999999	0
0.083	2	6	3	0.999999	0
0.121	1	1	1	0.999999	0
0.121	2	4	1	0.999999	0
0.122	1	2	2	0.999999	0
0.122	2	5	2	0.999999	0
0.123	1	3	3	0.999999	0
0.123	2	6	3	0.999999	0
0.161	1	1	1	0.999999	0
0.161	2	4	1	0.999999	0
0.162	1	2	2	0.999999	0
0.162	2	5	2	0.999999	0
0.163	1	3	3	0.999999	0
0.163	2	6	3	0.999999	0
0.201	1	1	1	0.999999	0
0.201	2	4	1	0.999999	0
0.202	1	2	2	0.999999	0
0.202	2	5	2	0.999999	0
0.203	1	3	3	0.999999	0
0.203	2	6	3	0.999999	0
0.241	1	1	1	0.999999	0
0.241	2	4	1	0.999999	0
0.242	1	2	2	0.999999	0
0.242	2	5	2	0.999999	0
0.243	1	3	3	0.999999	0
0.243	2	6	3	0.999999	0
0.281	1	1	1	0.999999	0
0.281	2	4	1	0.999999	0
0.282	1	2	2	0.999999	0
0.282	2	5	2	0.999999	0
0.283	1	3	3	0.999999	0
0.283	2	6	3	0.999999	0
0.321	1	1	1	0.999999	0
0.321	2	4	1	0.999999	0
0.322	1	2	2	0.999999	0
0.322	2	5	2	0.999999	0
0.323	1	3	3	0.999999	0
0.323	2	6	3	0.999999	0
0.361	1	1	1	0.999999	0
0.361	2	4	1	0.999999	0
0.362	1	2	2	0.999999	0
0.362	2	5	2	0.999999	0
0.363	1	3	3	0.999999	0
0.363	2	6	3	0.999999	0
0.401	1	1	1	0.999999	0
0.401	2	4	1	0.999999	0
0.402	1	2	2	0.999999	0
0.402	2	5	2	0.999999	0
0.403	1	3	3	0.999999	0
0.403	2	6	3	0.999999	0
0.441	1	1	1	0.999999	0
0.441	2	4	1	0.999999	0
0.442	1	2	2	0.999999	0
0.442	2	5	2	0.999999	0
0.443	1	3	3	0.999999	0
0.443	2	6	3	0.999999	0
0.481	1	1	1	0.999999	0
0.481	2	4	1	0.999999	0
0.482	1	2	2	0.999999	0
0.482	2	5	2	0.999999	0
0.483	1	3	3	0.999999	0
0.483	2	6	3	0.999999	0
0.521	1	1	1	0.999999	0
0.521	2	4	1	0.999999	0
0.522	1	2	2	0.999999	0
0.522	2	5	2	0.999999	0
0.523	1	3	3	0.999999	0
0.523	2	6	3	0.999999	0
0.561	1	1	1	0.999999	0
0.561	2	4	1	0.999999	0
0.562	1	2	2	0.999999	0
0.562	2	5	2	0.999999	0
0.563	1	3	3	0.999999	0
0.563	2	6	3	0.999999	0
0.601	1	1	1	0.999999	0
0.601	2	4	1	0.999999	0
0.602	1	2	2	0.999999	0
0.602	2	5	2	0.999999	0
0.603	1	3	3	0.999999	0
0.603	2	6	3	0.999999	0
0.641	1	1	1	0.999999	0
0.641	2	4	1	0.999999	0
0.642	1	2	2	0.999999	0
0.642	2	5	2	0.999999	0
0.643	1	3	3	0.999999	0
0.643	2	6	3	0.999999	0
0.681	1	1	1	0.999999	0
0.681	2	4	1	0.999999	0
0.682	1	2	2	0.999999	0
0.682	2	5	2	0.999999	0
0.683	1	3	3	0.999999	0
0.683	2	6	3	0.999999	0
0.721	1	1	1	0.999999	0
0.721	2	4	1	0.999999	0
0.722	1	2	2	0.999999	0
0.722	2	5	2	0.999999	0
0.723	1	3	3	0.999999	0
0.723	2	6	3	0.999999	0
0.761	1	1	1	0.999999	0
0.761	2	4	1	0.999999	0
0.762	1	2	2	0.999999	0
0.762	2	5	2	0.999999	0
0.763	1	3	3	0.999999	0
0.763	2	6	3	0.999999	0
0.801	1	1	1	0.999999	0
0.801	2	4	1	0.999999	0
0.802	1	2	2	0.999999	0
0.802	2	5	2	0.999999	0
0.803	1	3	3	0.999999	0
0.803	2	6	3	0.999999	0
0.841	1	1	1	0.999999	0
0.841	2	4	1	0.999999	0
0.842	1	2	2	0.999999	0
0.842	2	5	2	0.999999	0
0.843	1	3	3	0.999999	0
0.843	2	6	3	0.999999	0
0.881	1	1	1	0.999999	0
0.881	2	4	1	0.999999	0
0.882	1	2	2	0.999999	0
0.882	2	5	2	0.999999	0
0.883	1	3	3	0.999999	0
0.883	2	6	3	0.999999	0
0.921	1	1	1	0.999999	0
0.921	2	4	1	0.999999	0
0.922	1	2	2	0.999999	0
0.922	2	5	2	0.999999	0
0.923	1	3	3	0.999999	0
0.923	2	6	3	0.999999	0
0.961	1	1	1	0.999999	0
0.961	2	4	1	0.999999	0
0.962	1	2	2	0.999999	0
0.962	2	5	2	0.999999	0
0.963	1	3	3	0.999999	0
0.963	2	6	3	0.999999	0
1.001	1	1	1	0.999999	0
1.001	2	4	1	0.999999	0
1.002	1	2	2	0.999999	0
1.002	2	5	2	0.999999	0
1.003	1	3	3	0.999999	0
1.003	2	6	3	0.999999	0
1.041	1	1	1	0.999999	0
1.041	2	4	1	0.999999	0
1.042	1	2	2	0.999999	0
1.042	2	5	2	0.999999	0
1.043	1	3	3	0.999999	0
1.043	2	6	3	0.999999	0
1.081	1	1	1	0.999999	0
1.081	2	4	1	0.999999	0
1.082	1	2	2	0.999999	0
1.082	2	5	2	0.999999	0
1.083	1	3	3	0.999999	0
1.083	2	6	3	0.999999	0
1.121	1	1	1	0.999999	0
1.121	2	4	1	0.999999	0
1.122	1	2	2	0.999999	0
1.122	2	5	2	0.999999	0
1.123	1	3	3	0.999999	0
1.123	2	6	3	0.999999	0
1.161	1	1	1	0.999999	0
1.161	2	4	1	0.999999	0
1.162	1	2	2	0.999999	0
1.162	2	5	2	0.999999	0
1.163	1	3	3	0.999999	0
1.163	2	6	3	0.999999	0
1.201	1	1	1	0.999999	0
1.201	2	4	1	0.999999	0
1.202	1	2	2	0.999999	0
1.202	2	5	2	0.999999	0
1.203	1	3	3	0.999999	0
1.203	2	6	3	0.999999	0
1.241	1	1	1	0.999999	0
1.241	2	4	1	0.999999	0
1.242	1	2	2	0.999999	0
1.242	2	5	2	0.999999	0
1.243	1	3	3	0.999999	0
1.243	2	6	3	0.999999	0
1.281	1	1	1	0.999999	0
1.281	2	4	1	0.999999	0
1.282	1	2	2	0.999999	0
1.282	2	5	2	0.999999	0
1.283	1	3	3	0.999999	0
1.283	2	6	3	0.999999	0
1.321	1	1	1	0.999999	0
1.321	2	4	1	0.999999	0
1.322	1	2	2	0.999999	0
1.322	2	5	2	0.999999	0
1.323	1	3	3	0.999999	0
1.323	2	6	3	0.999999	0
1.361	1	1	1	0.999999	0
1.361	2	4	1	0.999999	0
1.362	1	2	2	0.999999	0
1.362	2	5	2	0.999999	0
1.363	1	3	3	0.999999	0
1.363	2	6	3	0.999999	0
1.401	1	1	1	0.999999	0
1.401	2	4	1	0.999999	0
1.402	1	2	2	0.999999	0
1.402	2	5	2	0.999999	0
1.403	1	3	3	0.999999	0
